mapping,engine,run,elapsed_time,kernel_mode,user_mode,memory_max,memory_average,number_results
gtfs-csv,rmlmapper,0,TimeOut,,,,,
gtfs-csv,rmlmapper,1,TimeOut,,,,,
gtfs-csv,rmlmapper,2,TimeOut,,,,,
,,,,,,,,
gtfs-json,rmlmapper,0,TimeOut,,,,,
gtfs-json,rmlmapper,1,TimeOut,,,,,
gtfs-json,rmlmapper,2,TimeOut,,,,,
,,,,,,,,
gtfs-xml,rmlmapper,0,TimeOut,,,,,
gtfs-xml,rmlmapper,1,TimeOut,,,,,
gtfs-xml,rmlmapper,2,TimeOut,,,,,
,,,,,,,,
gtfs-csv,morph-kgc,0,305.67,38.77,258.30,7824816,0,
gtfs-csv,morph-kgc,1,306.94,38.42,260.23,7850832,0,
gtfs-csv,morph-kgc,2,302.01,37.88,261.18,7826832,0,
,,,,,,,,
gtfs-json,morph-kgc,0,890.25,54.85,832.27,9588812,0,
gtfs-json,morph-kgc,1,890.51,53.17,835.89,9588316,0,
gtfs-json,morph-kgc,2,888.76,52.97,833.09,9592460,0,
,,,,,,,,
gtfs-xml,morph-kgc,0,3479.34,126.62,3351.22,35634680,0,
gtfs-xml,morph-kgc,1,3476.99,126.40,3349.06,35620172,0,
gtfs-xml,morph-kgc,2,3494.99,127.03,3365.78,35631956,0,
,,,,,,,,
gtfs-csv,mapping-template,0,17.17,2.93,24.48,8637028,0,
gtfs-csv,mapping-template,1,16.90,2.69,24.42,8616652,0,
gtfs-csv,mapping-template,2,16.60,2.42,26.15,9168712,0,
,,,,,,,,
gtfs-json,mapping-template,0,33.97,5.28,75.16,27531716,0,
gtfs-json,mapping-template,1,34.10,5.16,74.89,27215968,0,
gtfs-json,mapping-template,2,33.82,4.91,75.01,27552212,0,
,,,,,,,,
gtfs-xml,mapping-template,0,53.86,5.26,77.52,24812720,0,
gtfs-xml,mapping-template,1,52.33,5.56,76.64,28885968,0,
gtfs-xml,mapping-template,2,52.59,5.34,75.92,27045744,0,
,,,,,,,,
gtfs-csv,mapping-template-nj,0,16.37,2.62,25.23,9472464,0,
gtfs-csv,mapping-template-nj,1,16.35,2.62,23.91,8557780,0,
gtfs-csv,mapping-template-nj,2,16.58,2.76,25.88,9530336,0,
,,,,,,,,
gtfs-json,mapping-template-nj,0,32.63,4.89,73.80,27184220,0,
gtfs-json,mapping-template-nj,1,33.05,5.10,73.91,27125204,0,
gtfs-json,mapping-template-nj,2,32.98,5.08,73.26,27223024,0,
,,,,,,,,
gtfs-xml,mapping-template-nj,0,51.39,5.75,74.83,26763060,0,
gtfs-xml,mapping-template-nj,1,50.80,5.63,73.97,27080596,0,
gtfs-xml,mapping-template-nj,2,51.27,6.23,72.41,27740596,0,
