mapping,engine,run,elapsed_time,kernel_mode,user_mode,memory_max,memory_average,number_results
gtfs-csv,rmlmapper,0,2102.46,5.63,2138.63,12485420,0,
gtfs-csv,rmlmapper,1,2051.07,5.76,2089.62,17440916,0,
gtfs-csv,rmlmapper,2,2014.82,5.41,2050.90,12822604,0,
,,,,,,,,
gtfs-json,rmlmapper,0,4594.20,8.41,4650.74,16918444,0,
gtfs-json,rmlmapper,1,4576.65,7.93,4635.67,16657900,0,
gtfs-json,rmlmapper,2,4550.34,7.43,4609.10,16965728,0,
,,,,,,,,
gtfs-xml,rmlmapper,0,6020.87,13.51,6192.80,38947732,0,
gtfs-xml,rmlmapper,1,6013.59,12.45,6139.00,40021240,0,
gtfs-xml,rmlmapper,2,5971.43,12.87,6100.13,39830636,0,
,,,,,,,,
gtfs-csv,morph-kgc,0,33.73,3.47,30.81,926120,0,
gtfs-csv,morph-kgc,1,35.69,3.50,30.60,918684,0,
gtfs-csv,morph-kgc,2,33.56,3.51,30.61,915468,0,
,,,,,,,,
gtfs-json,morph-kgc,0,94.85,5.58,89.75,1080656,0,
gtfs-json,morph-kgc,1,98.04,5.27,89.85,1078156,0,
gtfs-json,morph-kgc,2,95.37,5.12,89.08,1081504,0,
,,,,,,,,
gtfs-xml,morph-kgc,0,354.76,11.87,343.01,3715656,0,
gtfs-xml,morph-kgc,1,358.19,12.50,346.16,3716836,0,
gtfs-xml,morph-kgc,2,358.76,12.02,347.26,3715512,0,
,,,,,,,,
gtfs-csv,mapping-template,0,2.17,0.58,3.85,1064284,0,
gtfs-csv,mapping-template,1,2.10,0.54,3.85,1068788,0,
gtfs-csv,mapping-template,2,2.22,0.58,3.92,1062104,0,
,,,,,,,,
gtfs-json,mapping-template,0,4.09,0.71,8.16,3311944,0,
gtfs-json,mapping-template,1,3.82,0.81,7.76,3268112,0,
gtfs-json,mapping-template,2,3.92,0.74,7.96,3262508,0,
,,,,,,,,
gtfs-xml,mapping-template,0,6.47,1.54,12.37,3640884,0,
gtfs-xml,mapping-template,1,6.80,1.53,13.89,4612368,0,
gtfs-xml,mapping-template,2,6.62,1.19,12.79,3705708,0,
,,,,,,,,
gtfs-csv,mapping-template-nj,0,2.09,0.53,3.68,1035268,0,
gtfs-csv,mapping-template-nj,1,2.09,0.46,3.73,1039516,0,
gtfs-csv,mapping-template-nj,2,2.08,0.49,3.75,1046876,0,
,,,,,,,,
gtfs-json,mapping-template-nj,0,3.71,0.97,7.47,3220304,0,
gtfs-json,mapping-template-nj,1,3.70,0.90,7.52,3265404,0,
gtfs-json,mapping-template-nj,2,3.87,0.87,7.70,3242764,0,
,,,,,,,,
gtfs-xml,mapping-template-nj,0,6.32,1.57,11.60,4047880,0,
gtfs-xml,mapping-template-nj,1,6.25,1.69,11.70,3793792,0,
gtfs-xml,mapping-template-nj,2,6.18,1.59,11.87,3804976,0,
